DEBUG:pymycobot.generate:_write: ['0xfe', '0xfe', '0x2', '0x10', '0xfa']
DEBUG:pymycobot.generate:_write: ['0xfe', '0xfe', '0x3', '0x16', '0x1', '0xfa']
DEBUG:pymycobot.generate:_write: ['0xfe', '0xfe', '0x2', '0x1', '0xfa']
DEBUG:pymycobot.generate:_write: ['0xfe', '0xfe', '0x2', '0x12', '0xfa']
DEBUG:pymycobot.generate:_write: ['0xfe', '0xfe', '0xf', '0x22', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0xfa']
WARNING:websocket:websocket connected
DEBUG:pymycobot.generate:_write: ['0xfe', '0xfe', '0xf', '0x22', '0x11', '0x94', '0xfa', '0x24', '0xf1', '0x10', '0x0', '0x0', '0xb', '0xb8', '0x0', '0x0', '0xf', '0xfa']
DEBUG:pymycobot.generate:_write: ['0xfe', '0xfe', '0xf', '0x22', '0x11', '0x7a', '0xfa', '0x24', '0xf1', '0x28', '0x0', '0x0', '0xb', '0xb8', '0x0', '0x0', '0xf', '0xfa']
DEBUG:pymycobot.generate:_write: ['0xfe', '0xfe', '0xf', '0x22', '0x11', '0x75', '0xfa', '0x24', '0xf1', '0x3d', '0x0', '0x0', '0xb', '0xb8', '0x0', '0x0', '0xf', '0xfa']
DEBUG:pymycobot.generate:_write: ['0xfe', '0xfe', '0xf', '0x22', '0x11', '0xb1', '0xfa', '0x24', '0xf1', '0x5a', '0x0', '0x0', '0xb', '0xb8', '0x0', '0x0', '0xf', '0xfa']
DEBUG:pymycobot.generate:_write: ['0xfe', '0xfe', '0xf', '0x22', '0x11', '0xed', '0xfa', '0x24', '0xf0', '0x76', '0x0', '0x0', '0xb', '0xb8', '0x0', '0x0', '0xf', '0xfa']
DEBUG:pymycobot.generate:_write: ['0xfe', '0xfe', '0xf', '0x22', '0x11', '0xca', '0xfa', '0x24', '0xf0', '0x22', '0x0', '0x0', '0xb', '0xb8', '0x0', '0x0', '0xf', '0xfa']
ERROR:websocket:error from callback <bound method RobotNetwork.on_message of <robot_network.RobotNetwork object at 0x7f8d392890>>: Expecting value: line 1 column 1 (char 0)
DEBUG:pymycobot.generate:_write: ['0xfe', '0xfe', '0xf', '0x22', '0x12', '0x28', '0xfa', '0x24', '0xf0', '0x50', '0x0', '0x0', '0xb', '0xb8', '0x0', '0x0', '0xf', '0xfa']
ERROR:websocket:error from callback <bound method RobotNetwork.on_message of <robot_network.RobotNetwork object at 0x7f8d392890>>: Expecting value: line 1 column 1 (char 0)
ERROR:websocket:error from callback <bound method RobotNetwork.on_message of <robot_network.RobotNetwork object at 0x7f8d392890>>: Expecting value: line 1 column 1 (char 0)
